id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1153732283875663217,Latomeiou 3 Luxury Apartment,195434423,Ioannis,,Thessaloniki,40.64753169999999,22.9390903,Entire home/apt,72,2,17,2024-11-24,3.05,3,253,17,00002574625
1154142327398372594,SKG Apartment Kotsidis,518900602,Stylianos,,Thessaloniki,40.62197,22.95947,Entire home/apt,,3,5,2024-10-29,0.68,1,1,5,00002628153
1154343810384289550,Θεσσαλονίκη κέντρο,577002591,Γεωργιος,,Thessaloniki,40.64270920553026,22.938803024590015,Entire home/apt,40,1,1,2024-05-20,0.14,1,64,1,00002442804
1154349468632494124,Elysian Bliss by InFox Suites,436387571,Kyriakos,,Thessaloniki,40.63892952258145,22.945785186508168,Entire home/apt,126,1,2,2024-12-19,0.35,5,133,2,01126726645
1154855994522324410,GetHome City Charm,577102361,Nikolaos,,Thessaloniki,40.6290562577836,22.951721449737548,Entire home/apt,79,2,2,2024-07-21,0.32,1,236,2,00002622307
1154926789014253811,Διαμέρισμα Θεσσαλονίκη,577116695,Dimitrios,,Kalamaria,40.584797019877854,22.951633371412754,Entire home/apt,86,1,8,2024-11-03,1.74,1,179,8,00002701660
1155655874009031381,Thessalonian Suite II - 2 Steps from Whiter Tower,577299080,Athanasios,,Thessaloniki,40.627761210267124,22.948700492686033,Entire home/apt,77,2,8,2024-10-21,1.09,1,228,8,00002631196
1156435204549530532,Bauhaus by halu!: Deluxe studio,540613164,Halu,,Thessaloniki,40.63664,22.93822,Private room,,1,33,2024-12-15,4.48,2,356,33,0933E70000225701
1156442738099466823,Bauhaus by halu!: Junior suite,540613164,Halu,,Thessaloniki,40.63544,22.93867,Entire home/apt,61,1,4,2024-09-03,0.56,2,349,4,0933E70000225701
1156487707905608787,Mirror-City Center #Skgbnb,28267881,Tomas&Cristina! Skgbnb,,Thessaloniki,40.6227621,22.9608841,Entire home/apt,50,2,2,2024-07-29,0.28,30,316,2,00002631074
1156939661438399533,BH762 - C - Room Thessaloniki,461193921,The Best Homes Md Lp,,Thessaloniki,40.62883,22.94844,Entire home/apt,138,3,0,,,14,356,0,1146800
1156962185057775876,BH763 - C - Room Thessaloniki,461193921,The Best Homes Md Lp,,Thessaloniki,40.62896,22.94959,Entire home/apt,151,3,0,,,14,354,0,1146800
1156995241650426595,BH765 - C - Room Thessaloniki,461193921,The Best Homes Md Lp,,Thessaloniki,40.62813,22.94806,Entire home/apt,164,3,0,,,14,356,0,1146800
1156997321931032528,BH704 - C - Suite Thessaloniki,461193921,The Best Homes Md Lp,,Thessaloniki,40.63774,22.93963,Entire home/apt,296,3,0,,,14,354,0,1302202
1157009781365358742,BH766 - C - Room Thessaloniki,461193921,The Best Homes Md Lp,,Thessaloniki,40.62691,22.9499,Entire home/apt,177,3,0,,,14,345,0,1146800
1157017794537043679,BH767 - C - Room Thessaloniki,461193921,The Best Homes Md Lp,,Thessaloniki,40.62832,22.94887,Entire home/apt,,3,0,,,14,357,0,1146800
1157029804869332444,BH770 - C - Room Thessaloniki,461193921,The Best Homes Md Lp,,Thessaloniki,40.62832,22.95006,Entire home/apt,210,3,0,,,14,354,0,1146800
1157121442606898350,Homfortable Corner,577685125,Δήμητρα,,Thessaloniki,40.61475,22.96703,Entire home/apt,60,2,2,2024-10-20,0.50,1,0,2,00002639552
1157237372761557917,Claires home στην Νέα Παραλία Θεσσαλονίκης,577723806,Λάζαρος,,Thessaloniki,40.60674448024988,22.953015749737563,Entire home/apt,98,1,0,,,1,363,0,00002635395
1157389712708401390,Oditee Konitsis,52529760,Konstantinos,,Kalamaria,40.57898,22.94983,Entire home/apt,65,2,1,2024-11-30,1,3,268,1,00002548026
1157797986944491501,Cozy and Central Apartment,379910184,Νικόλαος,,Thessaloniki,40.63243,22.95475,Entire home/apt,77,1,8,2024-10-26,1.11,31,173,8,00002481302
1157824232661503532,Ancient Greece Apartment,34593310,Kiriakos,,Thessaloniki,40.64176594565758,22.948673754280463,Entire home/apt,55,1,2,2024-08-25,0.35,1,285,2,00002669660
1158416671398315210,Jq lux ap,513283537,Ilias,,Thessaloniki,40.645917146283075,22.94062377790985,Entire home/apt,52,5,0,,,1,222,0,00002633450
1158510189627609289,Urban Retro Retreat,254132366,Calliope,,Thessaloniki,40.64136,22.94456,Entire home/apt,60,1,8,2024-12-08,3.53,1,27,8,00002936745
1158517851437839518,Ladadika sea view - 102,574327789,Shiuan,,Thessaloniki,40.6343,22.93488,Entire home/apt,64,1,6,2024-12-09,1.38,2,321,6,00002639961
1158522951964385383,The Grapiti - Spectacular view spacious apartment,6860117,Nikolaos,,Thessaloniki,40.63315,22.96148,Entire home/apt,,2,2,2024-10-28,0.55,1,0,2,00002931182
1158781870958976137,Amazing Studio Next To the Center 10 min walk 123,201738738,Your.Rentals,,Thessaloniki,40.6424002,22.9470046,Entire home/apt,115,5,0,,,22,361,0,00046789268
1158796827655474433,Loena Luxury Suites | Thessaloniki,145736762,Christos,,Thessaloniki,40.6367705,22.937251,Entire home/apt,112,1,14,2024-11-01,2.96,1,167,14,00002825758
1158823127658735840,Cosy penthouse in the city.,534544868,Antonis,,Thessaloniki,40.614203135413334,22.963826023042202,Entire home/apt,80,1,2,2024-09-17,0.51,1,8,2,00002642064
1159114590094333442,Cozy corner,62612905,Alexander,,Neapolis – Sykeon,40.6483959,22.9470528,Entire home/apt,53,1,3,2024-11-07,0.85,2,356,3,00002874920
1159332649161469227,Cozy Apartment with Work-Space in Thessaloniki,130916259,Avraam,,Thessaloniki,40.60875,22.97197,Entire home/apt,36,30,0,,,1,214,0,00002852116
1159381564200734878,Meli's house,573669184,Σημέλα,,Thessaloniki,40.6444775,22.9418538,Entire home/apt,45,1,0,,,1,360,0,00002663185
1159414903653242031,Secret Medow# hosted by DoorMat,374735588,Sofia,,Thessaloniki,40.6075104,22.9599499,Entire home/apt,64,1,35,2024-12-15,4.88,1,262,35,00002655324
1159538491187069246,StartDreamingMiniSuite,575747886,Δημοσθενης,,Thessaloniki,40.64353040775184,22.93934516608715,Entire home/apt,49,3,2,2024-06-23,0.32,1,187,2,00002656681
