Modell,Best Params,CV R²,Test R²,Test MSE,MAE,MedAE
Decision Tree,"{'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 5}",0.14057656734165452,0.08953709699527734,642680.4908093564,55.89044790963016,14.529323529102065
Random Forest,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': None}",0.3360073760302753,0.05391994816632306,667822.0387132621,48.71813989255657,6.369092969263207
Gradient Boosting,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.01}",-0.0159166512436691,0.010610101022254459,698393.7333178074,53.38925680968516,12.007567177467365
XGBoost,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.01}",0.1751669109880351,0.04076255770560011,677109.6199328386,48.824881943328464,7.4927825927734375
Linear Regression,n/a,n/a,0.07205047101902673,655024.0067592403,54.5957204046518,13.244095045825816
